#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Incorporados de Ptos. Cerrados,En el Ejercicio,Total,Realizados,Pendientes de realizar,Derechos reconocidos,Anulación de liquidaciones,Aplazamiento y fraccionamiento. Corto Plazo.,Aplazamiento y fraccionamiento. Largo Plazo.,Derechos anulados por anulación de liquidaciones,Derechos anulados por insolvencia y otras causas,Devolucion de ingresos ptes. de pago a 1 de enero,Pendientes de pago a 1 de Enero,Reconocidos,Realización del pago,Derechos recaudados,Derechos pendientes de cobro
2017,,11200,De naturaleza rústica,150000,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9,412.9,0,0
2017,,11300,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana,4663000,0,0,0,4663000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264.44,0,0
2017,,11400,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de caracteristicas especiales,230000,0,0,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,11500,Impuesto sobre vehiculos de Tracción Mecanica,540000,0,0,0,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,177.27,53.96,0,0
2017,,11600,Impuesto sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,650000,0,0,0,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,13000,Impuesto Actividades Economicas,70000,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,28200,"Impuesto sobre construcciones, instalaciones y obras",130000,0,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,2031.66,0,0,0
2017,,29100,Cotos de Caza y Pesca,500,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,30200,Servicio de recogida de basura,350000,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.21,0,0
2017,,30500,Tasas Cementerio Municipal,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,30900,Otras tasas por prestacion de servicios basicos,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,31900,Tasas por Utilizacion Edificios Públicos,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,32100,Licencias Urbanisticas,45000,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,32200,Licencias primera ocupacion,2000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,32300,Tasas apertura establecimientos,6000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,32500,Tasa por expedicion de documentos,3000,0,0,0,3000,0,0,0,0,0,10,0,0,0,0,0,0,0,30,30,10,0
2017,,32600,Tasa por retirada de vehiculos,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0
2017,,32700,Licencias de Autotaxis,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,33000,Tasa estacionamieno vehiculos. Parking,4000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,33100,Tasa por vados,19000,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0
2017,,33200,Tasa empresas explotadoras de servicios de suministros,350000,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,33500,Tasa por aprovechamiento dominio público,20000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,33501,Mercadillo,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,33800,"Compensacion de Tefónica de España, S.A.",80000,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,34200,Precios Publicos servicios educativos,15000,0,0,0,15000,0,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,1488
2017,,34400,Precios Publicos servicios culturales,15000,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,34401,Actividades Juventud,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,34500,Servicio de Transporte publico urbano,25000,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0
2017,,34900,Otros precios públicos,4000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39100,Multas por infracciones urbanísticas,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39110,Multas por infracciones tributarias y análogas,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39190,Otras multas y sanciones,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39200,Recargos por declaración extemporánea sin requerimiento previo,15000,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0
2017,,39300,Intereses de demora,15000,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39800,Indemnizaciones de seguros de no vida. Otros Ingresos,2000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39900,Recursos eventuales,6000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39901,Ingresos procedentes del Reciclaje,65000,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,,39902,Recuperacion costas expedientes ejecutivos,6000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
