#,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
,11,31000,Deuda pública. Intereses,,0,3,15000
,11,90100,Deuda pública. Amortizacion a largo plazo,,0,9,351781.43
,132,12004,Seguridad. Sueldos del Grupo C2,,1,1,323094.84
,132,12006,Seguridad. Trienios,,1,1,42719.25
,132,12100,Seguridad. Complemento de destino,,1,1,194091.94
,132,12101,Seguridad. Complemento específico,,1,1,851228.7
,132,15000,Seguridad y Orden Público. Productividad,,1,1,19000
,132,15100,Seguridad y Orden Público..Gratificaciones,,1,1,0
,132,15200,Seguridad y Orden Público. Otras remuneraciones,,1,1,7438.28
,132,15300,Seguridad y Orden Público. Complemento personal,,1,1,10000
,132,16000,Seguridad. Cotizaciones a cargo del empleador,,1,1,406800
,132,16103,Seguridad y Orden Público. Prestaciones I.T.,,1,1,0
,132,20300,"Seguridad y Orden Público. Maquinaria, instalaciones y Utillajes",,1,2,1500
,132,20400,Seguridad y Orden Público. Material de Transporte,,1,2,25000
,132,20600,Seguridad y Orden Público. Equipos para procesos información,,1,2,1000
,132,21200,Seguridad. Reparación edificios,,1,2,3000
,132,21300,"Seguridad. Reparación Maquinaria, instalaciones y utillaje",,1,2,1000
,132,21400,Seguridad. Reparación Vehiculos,,1,2,20000
,132,21600,Seguridad. Reparaciones equipos procesos información,,1,2,500
,132,22000,Seguridad. Material de oficina,,1,2,500
,132,22100,Seguridad. Suministros energía eléctrica,,1,2,7000
,132,22101,Seguridad. Suministros de agua,,1,2,500
,132,22103,Seguridad. Suministro de combustibles y carburantes,,1,2,5000
,132,22104,Seguridad. Vestuario del personal,,1,2,30000
,132,22199,Seguridad. Otros Suministros,,1,2,3000
,132,22400,Seguridad. Primas de seguros,,1,2,4000
,132,22604,"Seguridad. Jurídicos, contenciosos",,1,2,1000
,132,22606,Seguridad y Orden Público. Formación,,1,2,6000
,132,22714,Seguridad y Orden Público. Prestacion Servicio Mantenimiento Maquinaria,,1,2,2000
,132,22716,Seguridad y Orden Público. Prestacion Servicio Mantenimiento Aplicaciones Informaticas,,1,2,3000
,132,23020,Seguridad. Dietas del personal,,1,2,3000
,132,23120,Seguridad. Locomoción del personal,,1,2,3000
,135,13000,Protección civil. Retribuciones básicas,,1,1,13972
,135,16000,Protección civil. Seguridad Social,,1,1,4200
