#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Incorporados de Ptos. Cerrados,En el Ejercicio,Total,Realizados,Pendientes de realizar,Derechos reconocidos,Anulación de liquidaciones,Aplazamiento y fraccionamiento. Corto Plazo.,Aplazamiento y fraccionamiento. Largo Plazo.,Derechos anulados por anulación de liquidaciones,Derechos anulados por insolvencia y otras causas,Devolucion de ingresos ptes. de pago a 1 de enero,Pendientes de pago a 1 de Enero,Reconocidos,Realización del pago,Derechos recaudados,Derechos pendientes de cobro
2015,,11300,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.64,0,0,0,0
2015,,11500,Impuesto sobre vehiculos de Tracción Mecanica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.82,0,0,0,0
2015,,11600,Impuesto sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,13000,Actividades empresariales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,29000,"Impuesto sobre construcciones, instalaciones y obras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,30200,Servicio de recogida de basura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,30300,Eliminación y tratamiento de residuos vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,33500,Tasa por aprovechamiento dominio público,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,34401,Actividades Juventud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,39710,Otros ingresos por aprovechamientos urbanísticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,39900,Otros ingresos diversos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,42000,Participación en los tributos del estado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,45050,Convenios en materia de Empleo y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,45080,Otras subvenciones corrientes de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,,11200,De naturaleza rústica,100000,0,0,0,100000,0,0,0,0,0,211244.78,16229.43,0,0,0,0,0,0,12.92,12.92,106482.93,88532.42
2016,,11300,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana,4642000,0,0,0,4642000,0,0,0,0,0,4741884.2,37540.76,0,0,0,0,0,0,48313.09,47735.29,3745347,958996.44
2016,,11400,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de caracteristicas especiales,233000,0,0,0,233000,0,0,0,0,0,230083.85,0,0,0,0,0,0,0,0,0,230083.85,0
2016,,11500,Impuesto sobre vehiculos de Tracción Mecanica,465000,0,0,0,465000,0,0,0,0,0,475760.36,5370.95,0,0,0,0,0,0,1926.73,2007.33,378875.4,91514.01
2016,,11600,Impuesto sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,550000,0,0,0,550000,0,0,0,0,0,991789.2,0,0,0,0,0,0,0,173.52,173.52,962796.07,28993.13
