#Orgánica,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Créditos Generados por Ingresos,Obligaciones Reconocidas
10,132,12004,Seguridad y Orden Público. Sueldos del Grupo C2,10,1,1,340015.95,0,315946.82
10,132,12006,Seguridad y Orden Público. Trienios,10,1,1,39000,0,41339.2
10,132,12100,Seguridad y Orden Público. Complemento de destino,10,1,1,203134.98,0,169325.98
10,132,12101,Seguridad y Orden Público. Complemento específico,10,1,1,901415.61,0,747415.88
10,132,15100,Seguridad y Orden Público..Gratificaciones,10,1,1,0,0,9851.49
10,132,15200,Seguridad y Orden Público. Otras remuneraciones,10,1,1,8048.56,0,7492.34
10,132,16000,Seguridad y Orden Público. Seguridad Social,10,1,1,552000,0,305546.5
10,132,23020,Seguridad y Orden Público.Dietas del personal no directivo,10,1,2,0,0,98
10,132,23120,Seguridad y Orden Público. Locomoción del personal no directivo,10,1,2,0,0,540
10,135,16000,Protección civil. Seguridad Social,10,1,1,7500,0,0
10,135,22699,Protección civil. Otros gastos diversos,10,1,2,5000,0,0
10,151,12001,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Sueldos del Grupo A2",10,1,1,13035.59,0,8540.53
10,151,12003,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Sueldos del Grupo C1",10,1,1,9983.69,0,10293.27
10,151,12006,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Trienios",10,1,1,6000,0,5620.07
10,151,12100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Complemento de destino",10,1,1,17081.69,0,17680.55
10,151,12101,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Complemento específico",10,1,1,35464.96,0,41555.09
10,151,13000,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Retribuciones básicas",10,1,1,77331.65,0,81694.74
10,151,15100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Gratificaciones",10,1,1,0,0,439.38
10,151,16000,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística. Seguridad Social",10,1,1,62000,0,46644.55
10,151,23120,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística.",10,1,2,0,0,11.62
